ExactMolWt,MolLogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,FractionCSP3,LabuteASA,BalabanJ,HeavyAtomCount,NumAromaticRings,MolMR,Kappa1,Kappa2,HallKierAlpha,NumHeteroatoms,HeavyAtomMolWt,NHOHCount,NOCount,RingCount,MaxAbsPartialCharge
180.063388104,-3.2214000000000005,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677029,2.6344089870615974,12.0,0.0,35.986,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
180.063388104,-3.2213999999999987,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677028,2.6344089870615974,12.0,0.0,35.98599999999999,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
92.047344116,-1.6681000000000001,3.0,3.0,60.69,2.0,1.0,35.851836513210806,2.7541847860376616,6.0,0.0,20.1784,5.88,3.0849180327868857,-0.12,3.0,84.03,3.0,3.0,0.0,0.3935933161206694
18.010564684,-0.8247,0.0,0.0,31.5,0.0,0.0,6.84923118831809,0.0,1.0,0.0,3.6138,0.9600000000000016,-27.040000000000028,-0.04,1.0,15.999,2.0,1.0,0.0,0.4115095219374226
180.063388104,-3.2214000000000005,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677029,2.6344089870615974,12.0,0.0,35.986,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
180.063388104,-3.2213999999999987,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677028,2.6344089870615974,12.0,0.0,35.98599999999999,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
92.047344116,-1.6681000000000001,3.0,3.0,60.69,2.0,1.0,35.851836513210806,2.7541847860376616,6.0,0.0,20.1784,5.88,3.0849180327868857,-0.12,3.0,84.03,3.0,3.0,0.0,0.3935933161206694
604.4186481199998,4.462600000000006,3.0,10.0,133.14000000000001,30.0,0.90625,253.58251712208406,2.1260706461318684,42.0,0.0,161.19739999999973,38.9144558571778,28.64862661719468,-1.1100000000000003,10.0,544.3420000000003,3.0,10.0,1.0,0.4632198428367143
282.255880328,6.1085000000000065,1.0,1.0,37.3,15.0,0.8333333333333334,125.20941979262746,3.066157800884338,20.0,0.0,87.08780000000007,19.210000000000004,16.264914881933006,-0.79,2.0,248.19599999999994,1.0,2.0,0.0,0.4812303897852169
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.495412226862891,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.099849370815529
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.5385118917425267,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.08122260922191826
18.010564684,-0.8247,0.0,0.0,31.5,0.0,0.0,6.84923118831809,0.0,1.0,0.0,3.6138,0.9600000000000016,-27.040000000000028,-0.04,1.0,15.999,2.0,1.0,0.0,0.4115095219374226
180.063388104,-3.2214000000000005,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677029,2.6344089870615974,12.0,0.0,35.986,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
180.063388104,-3.2213999999999987,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677028,2.6344089870615974,12.0,0.0,35.98599999999999,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
92.047344116,-1.6681000000000001,3.0,3.0,60.69,2.0,1.0,35.851836513210806,2.7541847860376616,6.0,0.0,20.1784,5.88,3.0849180327868857,-0.12,3.0,84.03,3.0,3.0,0.0,0.3935933161206694
604.4186481199998,4.462600000000006,3.0,10.0,133.14000000000001,30.0,0.90625,253.58251712208406,2.1260706461318684,42.0,0.0,161.19739999999973,38.9144558571778,28.64862661719468,-1.1100000000000003,10.0,544.3420000000003,3.0,10.0,1.0,0.4632198428367143
282.255880328,6.1085000000000065,1.0,1.0,37.3,15.0,0.8333333333333334,125.20941979262746,3.066157800884338,20.0,0.0,87.08780000000007,19.210000000000004,16.264914881933006,-0.79,2.0,248.19599999999994,1.0,2.0,0.0,0.4812303897852169
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.495412226862891,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.099849370815529
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.5385118917425267,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.08122260922191826
18.010564684,-0.8247,0.0,0.0,31.5,0.0,0.0,6.84923118831809,0.0,1.0,0.0,3.6138,0.9600000000000016,-27.040000000000028,-0.04,1.0,15.999,2.0,1.0,0.0,0.4115095219374226
180.063388104,-3.2214000000000005,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677029,2.6344089870615974,12.0,0.0,35.986,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
180.063388104,-3.2213999999999987,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677028,2.6344089870615974,12.0,0.0,35.98599999999999,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
92.047344116,-1.6681000000000001,3.0,3.0,60.69,2.0,1.0,35.851836513210806,2.7541847860376616,6.0,0.0,20.1784,5.88,3.0849180327868857,-0.12,3.0,84.03,3.0,3.0,0.0,0.3935933161206694
604.4186481199998,4.462600000000006,3.0,10.0,133.14000000000001,30.0,0.90625,253.58251712208406,2.1260706461318684,42.0,0.0,161.19739999999973,38.9144558571778,28.64862661719468,-1.1100000000000003,10.0,544.3420000000003,3.0,10.0,1.0,0.4632198428367143
282.255880328,6.1085000000000065,1.0,1.0,37.3,15.0,0.8333333333333334,125.20941979262746,3.066157800884338,20.0,0.0,87.08780000000007,19.210000000000004,16.264914881933006,-0.79,2.0,248.19599999999994,1.0,2.0,0.0,0.4812303897852169
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.495412226862891,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.099849370815529
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.5385118917425267,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.08122260922191826
18.010564684,-0.8247,0.0,0.0,31.5,0.0,0.0,6.84923118831809,0.0,1.0,0.0,3.6138,0.9600000000000016,-27.040000000000028,-0.04,1.0,15.999,2.0,1.0,0.0,0.4115095219374226
180.063388104,-3.2214000000000005,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677029,2.6344089870615974,12.0,0.0,35.986,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
180.063388104,-3.2213999999999987,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677028,2.6344089870615974,12.0,0.0,35.98599999999999,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
92.047344116,-1.6681000000000001,3.0,3.0,60.69,2.0,1.0,35.851836513210806,2.7541847860376616,6.0,0.0,20.1784,5.88,3.0849180327868857,-0.12,3.0,84.03,3.0,3.0,0.0,0.3935933161206694
604.4186481199998,4.462600000000006,3.0,10.0,133.14000000000001,30.0,0.90625,253.58251712208406,2.1260706461318684,42.0,0.0,161.19739999999973,38.9144558571778,28.64862661719468,-1.1100000000000003,10.0,544.3420000000003,3.0,10.0,1.0,0.4632198428367143
282.255880328,6.1085000000000065,1.0,1.0,37.3,15.0,0.8333333333333334,125.20941979262746,3.066157800884338,20.0,0.0,87.08780000000007,19.210000000000004,16.264914881933006,-0.79,2.0,248.19599999999994,1.0,2.0,0.0,0.4812303897852169
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.495412226862891,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.099849370815529
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.5385118917425267,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.08122260922191826
18.010564684,-0.8247,0.0,0.0,31.5,0.0,0.0,6.84923118831809,0.0,1.0,0.0,3.6138,0.9600000000000016,-27.040000000000028,-0.04,1.0,15.999,2.0,1.0,0.0,0.4115095219374226
180.063388104,-3.2214000000000005,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677029,2.6344089870615974,12.0,0.0,35.986,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
180.063388104,-3.2213999999999987,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677028,2.6344089870615974,12.0,0.0,35.98599999999999,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
92.047344116,-1.6681000000000001,3.0,3.0,60.69,2.0,1.0,35.851836513210806,2.7541847860376616,6.0,0.0,20.1784,5.88,3.0849180327868857,-0.12,3.0,84.03,3.0,3.0,0.0,0.3935933161206694
604.4186481199998,4.462600000000006,3.0,10.0,133.14000000000001,30.0,0.90625,253.58251712208406,2.1260706461318684,42.0,0.0,161.19739999999973,38.9144558571778,28.64862661719468,-1.1100000000000003,10.0,544.3420000000003,3.0,10.0,1.0,0.4632198428367143
282.255880328,6.1085000000000065,1.0,1.0,37.3,15.0,0.8333333333333334,125.20941979262746,3.066157800884338,20.0,0.0,87.08780000000007,19.210000000000004,16.264914881933006,-0.79,2.0,248.19599999999994,1.0,2.0,0.0,0.4812303897852169
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.495412226862891,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.099849370815529
136.125200512,3.308900000000002,0.0,0.0,0.0,1.0,0.6,63.63869283950128,2.5385118917425267,10.0,0.0,45.91200000000003,7.585485232067512,3.0462804076265617,-0.52,0.0,120.10999999999997,0.0,0.0,1.0,0.08122260922191826
18.010564684,-0.8247,0.0,0.0,31.5,0.0,0.0,6.84923118831809,0.0,1.0,0.0,3.6138,0.9600000000000016,-27.040000000000028,-0.04,1.0,15.999,2.0,1.0,0.0,0.4115095219374226
180.063388104,-3.2213999999999987,5.0,6.0,110.38000000000001,1.0,1.0,68.64284443677028,2.6344089870615974,12.0,0.0,35.98599999999999,9.845034013605442,3.6489161032347726,-0.24000000000000002,6.0,168.05999999999997,5.0,6.0,1.0,0.3935665160029449
