composition_id,experiment_id,humidity,temperature,std_weighted_BalabanJ,std_weighted_ExactMolWt,std_weighted_FractionCSP3,std_weighted_HallKierAlpha,std_weighted_HeavyAtomCount,std_weighted_HeavyAtomMolWt,std_weighted_Kappa1,std_weighted_Kappa2,std_weighted_LabuteASA,std_weighted_MaxAbsPartialCharge,std_weighted_MolLogP,std_weighted_MolMR,std_weighted_NHOHCount,std_weighted_NOCount,std_weighted_NumAromaticRings,std_weighted_NumHAcceptors,std_weighted_NumHDonors,std_weighted_NumHeteroatoms,std_weighted_NumRotatableBonds,std_weighted_RingCount,std_weighted_TPSA,range_weighted_BalabanJ,range_weighted_ExactMolWt,range_weighted_FractionCSP3,range_weighted_HallKierAlpha,range_weighted_HeavyAtomCount,range_weighted_HeavyAtomMolWt,range_weighted_Kappa1,range_weighted_Kappa2,range_weighted_LabuteASA,range_weighted_MaxAbsPartialCharge,range_weighted_MolLogP,range_weighted_MolMR,range_weighted_NHOHCount,range_weighted_NOCount,range_weighted_NumAromaticRings,range_weighted_NumHAcceptors,range_weighted_NumHDonors,range_weighted_NumHeteroatoms,range_weighted_NumRotatableBonds,range_weighted_RingCount,range_weighted_TPSA,max_weighted_BalabanJ,max_weighted_ExactMolWt,max_weighted_FractionCSP3,max_weighted_HallKierAlpha,max_weighted_HeavyAtomCount,max_weighted_HeavyAtomMolWt,max_weighted_Kappa1,max_weighted_Kappa2,max_weighted_LabuteASA,max_weighted_MaxAbsPartialCharge,max_weighted_MolLogP,max_weighted_MolMR,max_weighted_NHOHCount,max_weighted_NOCount,max_weighted_NumAromaticRings,max_weighted_NumHAcceptors,max_weighted_NumHDonors,max_weighted_NumHeteroatoms,max_weighted_NumRotatableBonds,max_weighted_RingCount,max_weighted_TPSA,min_weighted_BalabanJ,min_weighted_ExactMolWt,min_weighted_FractionCSP3,min_weighted_HallKierAlpha,min_weighted_HeavyAtomCount,min_weighted_HeavyAtomMolWt,min_weighted_Kappa1,min_weighted_Kappa2,min_weighted_LabuteASA,min_weighted_MaxAbsPartialCharge,min_weighted_MolLogP,min_weighted_MolMR,min_weighted_NHOHCount,min_weighted_NOCount,min_weighted_NumAromaticRings,min_weighted_NumHAcceptors,min_weighted_NumHDonors,min_weighted_NumHeteroatoms,min_weighted_NumRotatableBonds,min_weighted_RingCount,min_weighted_TPSA,weighted_BalabanJ,weighted_ExactMolWt,weighted_FractionCSP3,weighted_HallKierAlpha,weighted_HeavyAtomCount,weighted_HeavyAtomMolWt,weighted_Kappa1,weighted_Kappa2,weighted_LabuteASA,weighted_MaxAbsPartialCharge,weighted_MolLogP,weighted_MolMR,weighted_NHOHCount,weighted_NOCount,weighted_NumAromaticRings,weighted_NumHAcceptors,weighted_NumHDonors,weighted_NumHeteroatoms,weighted_NumRotatableBonds,weighted_RingCount,weighted_TPSA,wvp
64,18,90.0,25.0,0.0006593673928739338,8.93037519682247,0.0002523371396174314,0.019882955011272446,0.4952436725668468,7.930693759470592,0.47583410809959265,13.491782546134631,3.395990463309197,0.20516311889111297,0.4104581041159251,1.7917088152812246,0.9962311841725885,0.4970738752818112,0.0,0.00205615596330193,0.0015847664419622255,0.4970738752818112,0.000435455613840757,0.0003528652897362893,15.681233249588976,0.0013146408933364928,17.908394567881334,0.000499026878435772,0.03983078255325742,0.9937195471814926,15.906694501756672,0.9538887646282368,26.984683270641842,6.809798037019824,0.4104158582737538,0.8217619304317362,3.592131714620536,1.993589144312814,0.9957695638314354,0.0,0.003938305891286328,0.002940252134414785,0.9957695638314354,0.0008676508881928516,0.000499026878435772,31.389844948335075,0.0026292817866729857,17.97129409722161,0.000998053756871544,-8.200066599771741e-05,0.9978195804813784,15.964115468121573,0.9579067972621249,0.00364181442534254,6.8342969909475295,0.4106122585436916,-0.0011398775912566034,3.605920399943605,1.9956391609627568,0.9978195804813784,0.0,0.005988322541229264,0.00499026878435772,0.9978195804813784,0.0013666777666286236,0.000998053756871544,31.43131678516342,0.0013146408933364928,0.06289952934027564,0.000499026878435772,-0.039912783219255135,0.004100033299885871,0.05742096636490162,0.004018032633888153,-26.9810414562165,0.024498953927704743,0.0001964002699377919,-0.8229018080229927,0.013788685323069509,0.0020500166499429354,0.0020500166499429354,0.0,0.0020500166499429354,0.0020500166499429354,0.0020500166499429354,0.000499026878435772,0.000499026878435772,0.041471836828345585,0.005825964236141721,18.303763038020207,0.0021804195186216277,-0.04035408323772661,1.019884581404952,16.27313580605622,0.9766636396717236,-26.973470690134842,6.961559818033936,0.41147041697062287,-0.8288643811728283,3.6735830290088436,2.0051745807892365,1.0088520809431651,0.0,0.011032500461786832,0.009535419826479517,1.0088520809431651,0.0028637584019359395,0.0014970806353073161,31.638036382516987,1.35
65,18,90.0,25.0,0.001086881994697357,6.336494738324105,0.00041030930266219953,0.014086724173942805,0.351638569529804,5.628124369111415,0.3376954761449102,9.539043633610845,2.4096237675000745,0.14512079476838954,0.29063353766249234,1.2713019988589258,0.8138893521839126,0.4064376970117402,0.0,0.002482671410608592,0.0020695961923430637,0.4064376970117402,0.000557339843529242,0.00043663765947927726,12.814167322865526,0.0026281713768228094,17.969915587370256,0.0009975880092321704,0.03990982528869184,0.9977392771402551,15.962887607915128,0.9578303328856158,26.98301812314342,6.83376217578327,0.41058671425524534,0.8230141795566922,3.6056259996701865,1.995514677876321,0.9977548245790661,0.0,0.005986361361714477,0.00498862293821129,0.9977548245790661,0.0013562304763439278,0.0009975461995147966,31.42931787983284,0.0026291195412263446,17.970185140147358,0.00099799216983345,-4.950270537054153e-07,0.9977580078936386,15.963130368290324,0.9578476875778946,0.0036415896994074887,6.833875266059236,0.4105869208375463,0.0001631504468084472,3.6056978889260307,1.995516015787277,0.9977580078936386,0.0,0.005987953019000701,0.00498996084916725,0.9977580078936386,0.001366593432858928,0.00099799216983345,31.429377248649615,9.481644035353397e-07,0.00026955277710221043,4.04160601279759e-07,-0.03991032031574554,1.873075338344814e-05,0.00024276037519649842,1.73546922788542e-05,-26.979376533444015,0.00011309027596589935,2.0658230091652625e-07,-0.8228510291098837,7.188925584411995e-05,1.3379109559605815e-06,3.1833145724483786e-06,0.0,1.5916572862241893e-06,1.3379109559605815e-06,3.1833145724483786e-06,1.0362956515000413e-05,4.4597031865352716e-07,5.936881677616225e-05,0.0059807798281181004,18.311474896329035,0.0022178172173988628,-0.040384373683106885,1.0204689062240935,16.279936345367265,0.9771039251537591,-26.97158579987336,6.965239910347015,0.41145176378060466,-0.828604081067114,3.676306392343393,2.0050537767785586,1.008797470589187,0.0,0.011037871038262204,0.009537760991281452,1.008797470589187,0.0029605051640388897,0.0015571037326456462,31.636202835234045,1.36
66,18,90.0,25.0,0.0010697345556443599,6.335649006097397,0.0004059482088574005,0.014084186614191406,0.3515834752865945,5.627375269826723,0.33764886376410785,9.538466172642575,2.4092638140081046,0.14511149927516379,0.29062627121632134,1.2710720639450033,0.8138388919479123,0.40641198616733065,0.0,0.0024811757524889574,0.002068794055115757,0.40641198616733065,0.0005462115443084376,0.00042777635318522043,12.813366874718502,0.0026270611040045983,17.968537247636196,0.000997122319069155,0.03990686772315686,0.9976589837090987,15.961659899234805,0.9577538779453199,26.981353181135287,6.8332274266187625,0.4105611731191345,0.8231265372229966,3.605331635727722,1.9953902101519272,0.9976900766680633,0.0,0.005984400424222292,0.004986977295173228,0.9976900766680633,0.001345784475324383,0.0009970387047940048,31.427319221180486,0.002628957315801871,17.969076319925794,0.0009979305903956065,-9.899930177778537e-07,0.997696442904366,15.962145390026953,0.957788585188193,0.003641365001205113,6.833453593214601,0.4105615862582427,0.00032628075976594436,3.6054754053677978,1.995392885808732,0.997696442904366,0.0,0.0059875835423736385,0.004989652951978033,0.997696442904366,0.0013665091094965814,0.0009979305903956065,31.42743795148753,1.896211797272972e-06,0.000539072289597774,8.082713264515132e-07,-0.03990785771617464,3.745919526727013e-05,0.0004854907921470564,3.470724287318064e-05,-26.977711816134082,0.00022616659583909568,4.1313910820225384e-07,-0.8228002564632306,0.00014376964007562474,2.675656804805009e-06,6.366236302692628e-06,0.0,3.183118151346314e-06,2.675656804805009e-06,6.366236302692628e-06,2.072463417219837e-05,8.918856016016697e-07,0.00011873030704521751,0.006135576314820087,18.319185802943228,0.0022552103010511767,-0.04041466039044462,1.0210531589336638,16.286736045446503,0.977544156301636,-26.96970114221988,6.968919548512213,0.4114331128925144,-0.8283438130841653,3.679029419596783,2.0049329876759,1.00874286697449,0.0,0.011043240951972693,0.009540101867168072,1.00874286697449,0.0030572399869475183,0.001617119422734294,31.634369514223046,1.51
67,18,90.0,25.0,0.0010405813766762246,6.33396029606345,0.00039798406739414044,0.014079128696369013,0.35147354493039157,5.625879487790872,0.3375557975549374,9.537311465251062,2.408545447163113,0.14509291178602401,0.2906117728968495,1.2706136706859408,0.8137379901569124,0.40636057402299663,0.0,0.002478187376477169,0.0020671903630994186,0.40636057402299663,0.0005251091588020829,0.000412797188811639,12.811766274927454,0.002624840969362622,17.965781078394006,0.0009961911111296472,0.039900953686901615,0.9974984265693494,15.959204936340342,0.9576009963663806,26.97802391343774,6.832158126240137,0.4105101003015844,0.8233512109636867,3.6047430168087544,1.99514132077789,0.9975606048140693,0.0,0.005980479275126558,0.004983686618271837,0.9975606048140693,0.0013248963401262409,0.0009960239032139164,31.423322643727808,0.002628632925004605,17.9668590899394,0.0009978074543150438,-1.9797417222514216e-06,0.9975733357155967,15.960175798113832,0.9576704022869744,0.0036409156879778585,6.832610403617777,0.41051092647784515,0.0006524809990341563,3.605030520609023,1.9951466714311934,0.9975733357155967,0.0,0.005986844725890263,0.004989037271575219,0.9975733357155967,0.0013663404939862284,0.0009978074543150438,31.423560075041294,3.79195564198315e-06,0.0010780115453963642,1.616343185396712e-06,-0.03990293342862387,7.490914624735107e-05,0.0009708617734898952,6.940592059384331e-05,-26.974382997749764,0.00045227737763975243,8.261762607554859e-07,-0.8226987299646525,0.0002875038002688745,5.350653303382219e-06,1.2730901527408905e-05,0.0,6.365450763704452e-06,5.350653303382219e-06,1.2730901527408905e-05,4.1444153859987466e-05,1.7835511011274064e-06,0.00023743131348617606,0.006445111986545446,18.33460476179228,0.0023299826263978403,-0.04047522259375989,1.0222214480774756,16.300332928530864,0.97842445563514,-26.96593252456472,6.976277462735187,0.4113958180204129,-0.827823373462782,3.6844744661088993,2.0046914541836025,1.00863367995795,0.0,0.011053978791589715,0.009544782752409258,1.00863367995795,0.0032506738240209773,0.0017371285866464871,31.63070355084934,1.5
68,18,90.0,25.0,0.0010187549282433287,6.33227525862076,0.00039108054515764275,0.014074093719820147,0.35136395879161597,5.624386927821272,0.33746294275549943,9.536157043831333,2.4078291340228026,0.1450743289585291,0.29059732065250665,1.270157246678063,0.8136371132662308,0.40630917460071775,0.0,0.002475202928176694,0.0020655874480490105,0.40630917460071775,0.0005057032442345582,0.00040180380876265873,12.810166070351807,0.002622621382544217,17.96302558924321,0.0009952601329679415,0.03989504110994906,0.9973379090474609,15.956750579213885,0.9574481525113392,26.974695467245013,6.831089089713955,0.410459040086375,0.8235758292655901,3.6041545431329225,1.9948924928179053,0.997431164907567,0.0,0.005976559093583809,0.004980396753352899,0.997431164907567,0.0013040133591257742,0.0009950093520385624,31.419327052440245,0.0026283086142515504,17.964642407059845,0.0009976843486186058,-2.9692462038480484e-06,0.9974502589038227,15.958206692202259,0.9575522485476714,0.0036404664856197256,6.8317674220800155,0.4104602791978704,0.0009786007476075757,3.6045857456266344,1.9949005178076453,0.9974502589038227,0.0,0.0059861060917116345,0.004988421743093029,0.9974502589038227,0.0013661719200821585,0.0009976843486186058,31.419683155470413,5.687231707333167e-06,0.0016168178166353858,2.424215650664228e-06,-0.03989801035615291,0.00011234985636181801,0.0014561129883739234,0.00010409603633219603,-26.971055000759392,0.000678332366060343,1.2391114953963991e-06,-0.8225972285179826,0.00043120249371186886,8.024989740129858e-06,1.9093996255649742e-05,0.0,9.546998127824871e-06,8.024989740129858e-06,1.9093996255649742e-05,6.21585609563843e-05,2.674996580043286e-06,0.0003561030301678677,0.006754571279598195,18.35001991597609,0.0024047365014931124,-0.0405357698532056,1.023389448943127,16.313926456551574,0.979304537752663,-26.96216483682504,6.9836335613751,0.41135853235091097,-0.8273030622611289,3.6899181690426723,2.004449980290276,1.0085245198835695,0.0,0.011064713981618948,0.009549462482630736,1.0085245198835695,0.0034440599308291934,0.001857108138008407,31.627038492060922,1.53
69,18,90.0,25.0,0.0010047267116469662,6.330593893803982,0.00038529374056945573,0.014069081691306258,0.35125471692218035,5.6228975899405755,0.3373702993733443,9.535002908277551,2.40711487480714,0.145055750790955,0.29058291445685347,1.2697027925064546,0.8135362612666526,0.4062577878957861,0.0,0.002472222416501716,0.0020639853104237257,0.4062577878957861,0.00048819417649475377,0.0003951256299565718,12.8085662608453,0.0026204023433466428,17.960270779932124,0.0009943293844990012,0.039889129991759135,0.9971774311287716,15.954296827631254,0.9572953463662348,26.971367842253088,6.830020316942571,0.4104079924688426,0.8238003921492238,3.603566214646475,1.994643726249245,0.9973017569367335,0.0,0.0059726398792359706,0.004977107700115912,0.9973017569367335,0.0012831355304155025,0.0009939950511752723,31.415332446952835,0.002627984383513083,17.962426271084652,0.0009975612732950475,-3.9585065529504586e-06,0.9973272124578021,15.956238072112376,0.9574341239594917,0.0036400173940896834,6.83092464852432,0.41040964441369243,0.001304640035274437,3.604141080380005,1.9946544249156042,0.9973272124578021,0.0,0.0059853676397702855,0.004987806366475237,0.9973272124578021,0.0013660033877689742,0.0009975612732950475,31.415807192420765,7.582040166440193e-06,0.0021554911525301585,3.231888796046263e-06,-0.039893088498312086,0.00014978132903055785,0.001941244481122666,0.00013877759325688256,-26.967727824858997,0.0009043315817490464,1.6519448498430762e-06,-0.8224957521139494,0.0005748657335302478,1.069866635932556e-05,2.5455521068629114e-05,0.0,1.2727760534314557e-05,1.069866635932556e-05,2.5455521068629114e-05,8.286785735347182e-05,3.566222119775187e-06,0.00047474546792993297,0.007063954222244781,18.365431266902707,0.002479471933165117,-0.04059630217431224,1.0245571616373048,16.32751663075028,0.980184402734593,-26.958398078656703,6.990987845103874,0.4113212558806029,-0.8267828794316803,3.6953605288953377,2.004208565973864,1.0084153867413774,0.0,0.011075446523040955,0.009554141058259956,1.0084153867413774,0.003637398325036325,0.0019770580877791523,31.623374337523032,1.65
155,49,,,0.0008884133774897005,6.764686272906722,0.0003506244932268561,0.01503789823011356,0.37532097709519463,6.008025135027033,0.360540149050605,10.194358828618888,2.5725007180286346,0.1550701378401305,0.31046453094232934,1.3573424570893418,0.7532862076669528,0.3761429074423497,0.0,0.0019744478390150326,0.0016011773495838966,0.3761429074423497,0.0003766127889469345,0.0003863464500141482,11.85958729140208,0.002102592415550903,17.956991304258807,0.0008220706043191134,0.03988739914788987,0.9969455406571537,15.951086583877695,0.9571345607930366,26.973414141198468,6.828851138417642,0.41043393910108883,0.822447362199558,3.6030562876536,1.9946493017746019,0.9971849786972466,0.0,0.004788760801858913,0.003990634001549094,0.9971849786972466,0.0008220706043191134,0.0008220706043191134,31.414464265415287,0.002207722036328448,17.964176975048826,0.0008619769443346043,-9.577521603717826e-06,0.9974244167373396,15.957793243380697,0.9575274400678476,0.003057912620777429,6.831590423107366,0.4104496449002952,-0.00012855428372590246,3.6044923572053977,1.9948488334746792,0.9974244167373396,0.0,0.005028198841951858,0.0041901657016265486,0.9974244167373396,0.0008619769443346043,0.0008619769443346043,31.4188691272262,0.00010512962077754516,0.0071856707900195315,3.990634001549094e-05,-0.039896976669493586,0.0004788760801858913,0.0067066595030034065,0.0003928792748110123,-26.97035622857769,0.0027392846897242055,1.5705799206325678e-05,-0.822575916483284,0.0014360695517974566,0.00019953170007745472,0.00023943804009294564,0.0,0.00023943804009294564,0.00019953170007745472,0.00023943804009294564,3.990634001549094e-05,3.990634001549094e-05,0.00440486181090989,0.006752962172075618,18.36657453928992,0.0025292940145781005,-0.040563184732426885,1.0242080359044017,16.333451634379458,0.9794766836845636,-26.96206501769117,6.985253141526636,0.411486164205659,-0.8295829671691183,3.684975451345059,2.005916516772729,1.0109550940651175,0.0,0.01325294183928413,0.011067683298049923,1.0109550940651175,0.0027983013560215113,0.0021852585412342083,31.66767924146993,2.78
156,49,,,0.0008122441360368897,5.964218443901381,0.00023458574891226168,0.013242671338120834,0.3309437829248596,5.297279046886424,0.3178682490713575,8.982916519729002,2.268035317291435,0.13664122048280777,0.2736712595841134,1.1966161661212127,0.6638648801290485,0.33156265086136744,0.0,0.0013854199112376298,0.001122125735943637,0.33156265086136744,0.00028839223511609456,0.0002701584508630348,10.452296493270714,0.002441176979975116,17.943998692873684,0.0005749640387367252,0.03985662546575088,0.9962481713897712,15.939642345497903,0.9564449943015744,26.94980144812343,6.8239121813725205,0.4100924510467715,0.82196363373289,3.600447612866426,1.993026649417212,0.9964156366437721,0.0,0.00344079442454949,0.002867328687124575,0.9964156366437721,0.0007520800992858611,0.0005749640387367252,31.38928690732375,0.0025147056416685754,17.949024419711204,0.0006028749144035564,-6.698610160039515e-06,0.9965831018977731,15.944333047262472,0.9567197778218638,0.0021943728076192605,6.825828063269013,0.4101034358328663,8.154959779655241e-05,3.6014520136381725,1.9931662037955462,0.9965831018977731,0.0,0.0036082596785504775,0.0030068830654587314,0.9965831018977731,0.0007799909749526924,0.0006028749144035564,31.392367709779855,7.352866169345925e-05,0.005025726837519137,2.7910875666831315e-05,-0.03986332407591092,0.00033493050800197577,0.00469070176456767,0.0002747835202894668,-26.947607075315812,0.0019158818964923388,1.0984786094786172e-05,-0.8218820841350934,0.0010044007717465915,0.00013955437833415658,0.00016746525400098788,0.0,0.00016746525400098788,0.00013955437833415658,0.00016746525400098788,2.7910875666831315e-05,2.7910875666831315e-05,0.00308080245610484,0.009144299781193872,18.402775757041503,0.002935955314999213,-0.040963128291346164,1.026822873556395,16.367030443334045,0.9817928733222487,-26.938467952872152,7.000689229639847,0.41154302989509745,-0.8288539790839518,3.6948692045638603,2.0057634381954514,1.0118001131548306,0.0,0.014125625112273273,0.011995857786813694,1.0118001131548306,0.0027925326226115803,0.0021297673254595793,31.676813597302356,1.47
161,49,,,0.0014063541255329355,5.9595507508904095,0.0003400424629561886,0.013224696252839405,0.33067091690163175,5.293102227580998,0.3176094439517417,8.97789180563594,2.2662169385377857,0.13655333415436993,0.2735191091207111,1.195611875882726,0.6634503372877569,0.3313315901428881,0.0,0.0018710235799101356,0.0015465255679165488,0.3313315901428881,0.0003728194691311442,0.00036343379699487,10.445457184607163,0.004136329635767171,17.935349121887754,0.0009818059214995473,0.039836138502794036,0.9957839117576742,15.93202357284999,0.9559859292113759,26.936117514434553,6.82062416957166,0.40986511220940364,0.8215560187464941,3.5987109398388064,1.9919464010872414,0.995903462569851,0.0,0.005890835528997285,0.0049090296074977375,0.995903462569851,0.0009818059214995473,0.0009818059214995473,31.37252558509253,0.004188820591435311,17.938936909269607,0.0010017310568623326,-4.782032487068441e-06,0.9960230133820277,15.935372191099061,0.9561820928467483,0.0036552325844953536,6.82199188753875,0.4098729540755093,0.00013583961033578778,3.5994279657599715,1.9920460267640554,0.9960230133820277,0.0,0.006010386341173996,0.0050086552843116635,0.9960230133820277,0.0010017310568623326,0.0010017310568623326,31.374724921533872,5.249095566814009e-05,0.0035877873818539216,1.9925135362785173e-05,-0.039840920535281106,0.00023910162435342207,0.0033486182490696757,0.00019616363537231264,-26.932462281850057,0.001367717967089253,7.841866105618434e-06,-0.8214201791361583,0.000717025921165187,9.962567681392586e-05,0.00011955081217671104,0.0,0.00011955081217671104,9.962567681392586e-05,0.00011955081217671104,1.9925135362785173e-05,1.9925135362785173e-05,0.0021993364413442273,0.010736284932469059,18.42687599320174,0.003206681936535258,-0.0412293827109312,1.0285636493879196,16.38938486332451,0.9833348302156094,-26.92275867925796,7.01096549635196,0.4115808870896893,-0.8283686698567577,3.7014557727484,2.005661529196457,1.0123626677009718,0.0,0.014706596534738884,0.01261377137553913,1.0123626677009718,0.0027886922038036057,0.0020928251591997554,31.68289461187606,1.49
162,49,,,0.0020583433981904153,5.955557005518746,0.0005070391586601247,0.01320956667097186,0.33044123695411215,5.289544732099124,0.31738780045301473,8.973406687980477,2.264660069688473,0.1364749777830533,0.2733842519684597,1.1947490267074745,0.663079730795576,0.3311288486786971,0.0,0.0027120941882980195,0.0022609008162090363,0.3311288486786971,0.0005321325696173727,0.0005290409480634697,10.439379821825993,0.005662457555433442,17.927780306126646,0.0013897704092208794,0.03981805335801194,0.9953796394703576,15.925364769472257,0.9555844681940971,26.924057445570106,6.817747156174345,0.4096625027492418,0.8211924906795066,3.5971911205486733,1.9909863114605282,0.9954513339502986,0.0,0.008338622455325278,0.0069488520461043965,0.9954513339502986,0.0013897704092208794,0.0013897704092208794,31.357656456103232,0.005693936319146647,17.9299318979544,0.0014017194892110428,-2.8677791976392093e-06,0.9955230284302395,15.927372931855404,0.9557021072930316,0.005114756816400195,6.818567375013273,0.409667205507023,0.00018464913308799443,3.5976211201411994,1.991046056860479,0.9955230284302395,0.0,0.008410316935266258,0.007008597446055214,0.9955230284302395,0.0014017194892110428,0.0014017194892110428,31.358975395552545,3.147876371320429e-05,0.002151591827754528,1.1949079990163373e-05,-0.03982092113720958,0.00014338895988196047,0.0020081623831468562,0.00011763909893445059,-26.918942688753706,0.000820218838927309,4.702757781169102e-06,-0.8210078415464186,0.00042999959252601905,5.974539995081687e-05,7.169447994098024e-05,0.0,7.169447994098024e-05,5.974539995081687e-05,7.169447994098024e-05,1.1949079990163373e-05,1.1949079990163373e-05,0.001318939449314233,0.012159749404692326,18.448465528443243,0.003447439468504153,-0.04146615211753275,1.0301250438889837,16.409347757786843,0.9847265801118977,-26.90872689546864,7.020212233778602,0.41161453064446585,-0.8279387989312379,3.7074612803786207,2.0056198122491615,1.0128656170658892,0.0,0.015228083224766927,0.013172035899471213,1.0128656170658892,0.0027850224816110864,0.002056047325295713,31.688633561817625,1.64
