composition_id,experiment_id,humidity,temperature,weighted_BalabanJ,weighted_ExactMolWt,weighted_FractionCSP3,weighted_HeavyAtomCount,weighted_LabuteASA,weighted_MolLogP,weighted_NOCount,weighted_NumAromaticRings,weighted_NumHAcceptors,weighted_NumHDonors,weighted_NumRotatableBonds,weighted_TPSA,wvp
64,18,90.0,25.0,0.005825964236141721,18.303763038020207,0.0021804195186216277,1.019884581404952,6.961559818033936,-0.8288643811728283,1.0088520809431651,0.0,0.011032500461786832,0.009535419826479517,0.0028637584019359395,31.638036382516987,1.35
65,18,90.0,25.0,0.0059807798281181004,18.311474896329035,0.0022178172173988628,1.0204689062240935,6.965239910347015,-0.828604081067114,1.008797470589187,0.0,0.011037871038262204,0.009537760991281452,0.0029605051640388897,31.636202835234045,1.36
66,18,90.0,25.0,0.006135576314820087,18.319185802943228,0.0022552103010511767,1.0210531589336638,6.968919548512213,-0.8283438130841653,1.00874286697449,0.0,0.011043240951972693,0.009540101867168072,0.0030572399869475183,31.634369514223046,1.51
67,18,90.0,25.0,0.006445111986545446,18.33460476179228,0.0023299826263978403,1.0222214480774756,6.976277462735187,-0.827823373462782,1.00863367995795,0.0,0.011053978791589715,0.009544782752409258,0.0032506738240209773,31.63070355084934,1.5
68,18,90.0,25.0,0.006754571279598195,18.35001991597609,0.0024047365014931124,1.023389448943127,6.9836335613751,-0.8273030622611289,1.0085245198835695,0.0,0.011064713981618948,0.009549462482630736,0.0034440599308291934,31.627038492060922,1.53
69,18,90.0,25.0,0.007063954222244781,18.365431266902707,0.002479471933165117,1.0245571616373048,6.990987845103874,-0.8267828794316803,1.0084153867413774,0.0,0.011075446523040955,0.009554141058259956,0.003637398325036325,31.623374337523032,1.65
155,49,,,0.006752962172075618,18.36657453928992,0.0025292940145781005,1.0242080359044017,6.985253141526636,-0.8295829671691183,1.0109550940651175,0.0,0.01325294183928413,0.011067683298049923,0.0027983013560215113,31.66767924146993,2.78
156,49,,,0.009144299781193872,18.402775757041503,0.002935955314999213,1.026822873556395,7.000689229639847,-0.8288539790839518,1.0118001131548306,0.0,0.014125625112273273,0.011995857786813694,0.0027925326226115803,31.676813597302356,1.47
161,49,,,0.010736284932469059,18.42687599320174,0.003206681936535258,1.0285636493879196,7.01096549635196,-0.8283686698567577,1.0123626677009718,0.0,0.014706596534738884,0.01261377137553913,0.0027886922038036057,31.68289461187606,1.49
162,49,,,0.012159749404692326,18.448465528443243,0.003447439468504153,1.0301250438889837,7.020212233778602,-0.8279387989312379,1.0128656170658892,0.0,0.015228083224766927,0.013172035899471213,0.0027850224816110864,31.688633561817625,1.64
163,49,,,0.014708430084576023,18.487008235108533,0.0038821690391752078,1.0329070405775649,7.036605699697814,-0.8271577799860022,1.013766291542224,0.0,0.01615617212745781,0.014155520972833258,0.002779110015842908,31.698067286407266,1.78
208,60,75.0,25.0,0.008749955572405198,18.28340337460944,0.0023997972327771616,1.018806754717369,6.9565474616505245,-0.8261948718165694,1.0078071547485663,0.0,0.009414303993884111,0.008411783899546794,0.0022117783962983502,31.61172721795919,4.48
209,60,75.0,25.0,0.008751811363665016,18.283621872323458,0.0024003300687710357,1.0188223139100618,6.956643005448224,-0.8261906579180166,1.007808985394402,0.0,0.00941628211402826,0.008412723063428452,0.0022235735954449624,31.611745135261007,3.55
252,66,90.0,25.0,0.005825964236141721,18.303763038020207,0.0021804195186216277,1.019884581404952,6.961559818033936,-0.8288643811728283,1.0088520809431651,0.0,0.011032500461786832,0.009535419826479517,0.0028637584019359395,31.638036382516987,3.75
253,66,90.0,25.0,0.0059807798281181004,18.311474896329035,0.0022178172173988628,1.0204689062240935,6.965239910347015,-0.828604081067114,1.008797470589187,0.0,0.011037871038262204,0.009537760991281452,0.0029605051640388897,31.636202835234045,3.78
258,66,90.0,25.0,0.006135576314820087,18.319185802943228,0.0022552103010511767,1.0210531589336638,6.968919548512213,-0.8283438130841653,1.00874286697449,0.0,0.011043240951972693,0.009540101867168072,0.0030572399869475183,31.634369514223046,4.2
259,66,90.0,25.0,0.006445111986545446,18.33460476179228,0.0023299826263978403,1.0222214480774756,6.976277462735187,-0.827823373462782,1.00863367995795,0.0,0.011053978791589715,0.009544782752409258,0.0032506738240209773,31.63070355084934,4.17
260,66,90.0,25.0,0.006754571279598195,18.35001991597609,0.0024047365014931124,1.023389448943127,6.9836335613751,-0.8273030622611289,1.0085245198835695,0.0,0.011064713981618948,0.009549462482630736,0.0034440599308291934,31.627038492060922,4.25
261,66,90.0,25.0,0.007063954222244781,18.365431266902707,0.002479471933165117,1.0245571616373048,6.990987845103874,-0.8267828794316803,1.0084153867413774,0.0,0.011075446523040955,0.009554141058259956,0.003637398325036325,31.623374337523032,4.59
302,73,44.0,27.0,0.0033199452170904003,18.20383629575165,0.0012483591355473755,1.0132339283953233,6.92534690761912,-0.8266678577454734,1.0053352570270293,0.0,0.006589196311964465,0.0053689693900536755,0.0033709074193928284,31.58549721076191,4.15
303,73,44.0,27.0,0.003628056249186855,18.2477054978575,0.00134246730575153,1.0163864404074467,6.9456318726442925,-0.8252000985619619,1.0051962478044554,0.0,0.00651006952722038,0.005341789209866879,0.006392894689492198,31.582313003648515,2.66
304,73,44.0,27.0,0.003627169392989462,18.33315443840233,0.0013421391543279493,1.0205378986539504,6.996070101008513,-0.8296022990402683,1.0073949290263113,0.0,0.008952868642829147,0.005340483468024097,0.007369088188741552,31.619806943077762,3.26
305,73,44.0,27.0,0.009217706925072735,19.277211851511808,0.0030870037069191704,1.0900531115058336,7.414282944564673,-0.7949945996194584,1.0052553107004147,0.0,0.007700810624081293,0.0048145300535151776,0.07450679686015879,31.549789805310652,1.66
313,75,100.0,25.0,0.019091638420495993,18.636026482313884,0.005483942546273675,1.0430523652811825,7.0959869334385415,-0.8281518953305955,1.0173855128614973,0.0,0.021385123049919023,0.018973437466327472,0.007658848050363755,31.74913587813199,1.68
314,75,100.0,25.0,0.01905202216453262,19.48974402793484,0.007201740981948984,1.0969133749503859,7.458352875409497,-0.847259131943372,1.0443246096406584,0.0,0.050390933811829644,0.039684199600552694,0.028393088107282825,32.26957173860814,1.09
315,75,100.0,25.0,0.02257807825055421,18.793394025948057,0.006389095431503168,1.054027720826557,7.16033239899728,-0.8276909491165071,1.0207151513668546,7.563403442763604e-05,0.02585190240658837,0.021083921757044623,0.011831565938014274,31.786745984115438,1.28
355,84,50.0,28.0,0.014243833657577143,18.477695069437637,0.004174609329858485,1.0319295850890615,7.031326488969224,-0.8283631587926881,1.0134978569106927,8.681138332602962e-05,0.015640941076240398,0.015207932798801461,0.011136742972704162,31.71288802733474,0.5
372,91,75.0,25.0,0.004259425804485386,18.215689353963093,0.0015901970275713627,1.0139757742863562,6.928825441221918,-0.8276346284896793,1.0061927886293924,0.0,0.007782985656963785,0.0067788541322138865,0.002176262530392827,31.60212706822793,1.61
373,91,75.0,25.0,0.004261287491360646,18.215908246806464,0.0015907312451588988,1.0139913616220428,6.928921156575787,-0.8276304068839382,1.0061946232648824,0.0,0.007784968014804869,0.0067797958648416045,0.002188076711926755,31.602145020556502,1.28
467,97,52.0,25.0,0.011016461597036818,18.29746836186691,0.002496082475157294,1.01998508244548,6.963115714509411,-0.8243979929783151,1.0079973175070363,0.0,0.008999035025943378,0.00799731750703618,0.0010017175189071977,31.602150055818374,1.89
468,97,52.0,25.0,0.0063228706446939505,18.153362129136852,0.0012004166500703636,1.0100090002280089,6.906296031095685,-0.8248463862711135,1.0045008416498646,1.442076995944493e-05,0.0044451376031884905,0.004448761156353804,0.002565583829336724,31.573216456768986,0.79
471,97,52.0,25.0,0.006883437243967987,18.20173204990287,0.0014601010567045106,1.0134344468647742,6.927095826790434,-0.8242268134258779,1.0050870153934033,4.51134309148434e-05,0.005329696087875795,0.0048427293940532775,0.004600054324712195,31.57706255261711,0.8
472,97,52.0,25.0,0.009231271882045205,18.273786741720343,0.0021081186828351083,1.018422522156522,6.955504607665648,-0.8240030684609569,1.0068358633476875,3.7868300914720466e-05,0.0076073214240900645,0.006617822270327132,0.0038156127998528106,31.59153537795053,1.09
